Symbol,Name,Category,Exercise Price,Last Close Price,Issuer Last Close Price,Issuer Market cap,20 Day Average Volume,Issuer Symbol,Issuer,Type,Profit,Return
SPCMW,"Sound Point Acquisition Corp I, Ltd - Warrant",Shell Companies,$0.00 ,$0.00 ,$10.03 ,"$257,973,750 ",0,SPCM,"Sound Point Acquisition Corp I, Ltd - Class A",Common stocks,10.03,#DIV/0!
MURFW,Murphy Canyon Acquisition Corp. - Warrant,Shell Companies,$0.00 ,$0.00 ,$9.99 ,"$139,510,420 ",0,MURF,Murphy Canyon Acquisition Corp. - Class A,Common stocks,9.99,#DIV/0!
LFACW,LF Capital Acquisition Corp. II Warrants,Shell Companies,$0.00 ,$0.00 ,$9.98 ,"$258,232,500 ",0,LFAC,LF Capital Acquisition Corp. II Class A,Common stocks,9.98,#DIV/0!
NUBIW,Nubia Brand International Corp. - Warrant,Shell Companies,$0.00 ,$0.00 ,$9.98 ,"$122,759,000 ",0,NUBI,Nubia Brand International Corp. - Class A,Common stocks,9.98,#DIV/0!
TETEW,Technology & Telecommunication Acquisition Corporation - Warrant,Shell Companies,$0.00 ,$0.00 ,$9.98 ,"$120,084,350 ",0,TETE,Technology & Telecommunication Acquisition Corporation - Class A,Common stocks,9.98,#DIV/0!
VMCAW,Valuence Merger Corp. I - Warrant,Shell Companies,$0.00 ,$0.00 ,$9.98 ,"$219,677,039 ",0,VMCA,Valuence Merger Corp. I - Class A,Common stocks,9.98,#DIV/0!
CPAQW,Counter Press Acquisition Corporation - Warrant,Shell Companies,$0.00 ,$0.00 ,$9.97 ,"$91,264,894 ",0,CPAQ,Counter Press Acquisition Corporation - Class A,Common stocks,9.97,#DIV/0!
FGMCW,FG Merger Corp. - Warrant,Shell Companies,$0.00 ,$0.00 ,$9.97 ,"$100,866,458 ",0,FGMC,FG Merger Corp.,Common stocks,9.97,#DIV/0!
FTIIW,FutureTech II Acquisition Corp. - Warrant,Shell Companies,$0.00 ,$0.00 ,$9.97 ,"$120,986,698 ",0,FTII,FutureTech II Acquisition Corp. - Class A,Common stocks,9.97,#DIV/0!
HCMAW,HCM Acquisition Corp Warrant,Shell Companies,$0.00 ,$0.00 ,$9.96 ,"$288,362,500 ",0,HCMA,HCM Acquisition Corp Class A,Common stocks,9.96,#DIV/0!
RACYW,Relativity Acquisition Corp. - Warrant,Shell Companies,$0.00 ,$0.00 ,$9.95 ,"$149,836,638 ",0,RACY,Relativity Acquisition Corp. - Class A,Common stocks,9.95,#DIV/0!
SHUAW,SHUAA Partners Acquisition Corp I - Warrant,Shell Companies,$0.00 ,$0.00 ,$9.95 ,"$108,324,050 ",0,SHUA,SHUAA Partners Acquisition Corp I - Class A,Common stocks,9.95,#DIV/0!
EVGRW,Evergreen Corporation - Warrant,Shell Companies,$0.00 ,$0.00 ,$9.94 ,"$114,310,000 ",0,EVGR,Evergreen Corporation - Class A,Common stocks,9.94,#DIV/0!
BYNOW,byNordic Acquisition Corporation - Warrant,Shell Companies,$0.00 ,$0.00 ,$9.93 ,"$171,637,500 ",0,BYNO,byNordic Acquisition Corporation - Class A,Common stocks,9.93,#DIV/0!
SGHLW,Signal Hill Acquisition Corp. - Warrant,Shell Companies,$0.00 ,$0.00 ,$9.93 ,"$99,000,000 ",0,SGHL,Signal Hill Acquisition Corp. - Class A,Common stocks,9.93,#DIV/0!
ITAQW,"Industrial Tech Acquisitions II, Inc. Warrants",Shell Companies,$0.00 ,$0.00 ,$9.92 ,"$171,120,000 ",0,ITAQ,"Industrial Tech Acquisitions II, Inc. Class A",Common stocks,9.92,#DIV/0!
LBBBW,Lakeshore Acquisition II Corp. - Warrants,Shell Companies,$0.00 ,$0.00 ,$9.92 ,"$90,683,680 ",0,LBBB,Lakeshore Acquisition II Corp.,Common stocks,9.92,#DIV/0!
PPYAW,Papaya Growth Opportunity Corp. I Warrant,Shell Companies,$0.00 ,$0.00 ,$9.92 ,"$298,745,760 ",0,PPYA,Papaya Growth Opportunity Corp. I Class A,Common stocks,9.92,#DIV/0!
ACABW,Atlantic Coastal Acquisition Corp. II Warrant,Shell Companies,$0.00 ,$0.00 ,$9.91 ,"$297,600,000 ",0,ACAB,Atlantic Coastal Acquisition Corp. II Class A,Common stocks,9.91,#DIV/0!
DUETW,DUET Acquisition Corp. - Warrant,Shell Companies,$0.00 ,$0.00 ,$9.90 ,"$89,829,338 ",0,DUET,DUET Acquisition Corp. - Class A,Common stocks,9.9,#DIV/0!
LIVBW,LIV Capital Acquisition Corp. II Warrants,Shell Companies,$0.00 ,$0.00 ,$9.90 ,"$115,055,100 ",0,LIVB,LIV Capital Acquisition Corp. II Class A,Common stocks,9.9,#DIV/0!
VBOCW,Viscogliosi Brothers Acquisition Corp Warrant,Shell Companies,$0.00 ,$0.00 ,$9.90 ,"$205,941,300 ",0,VBOC,Viscogliosi Brothers Acquisition Corp,Common stocks,9.9,#DIV/0!
ATAKW,Aurora Technology Acquisition Corp. Warrants,Shell Companies,$0.00 ,$0.00 ,$9.89 ,"$199,172,000 ",0,ATAK,Aurora Technology Acquisition Corp. Class A,Common stocks,9.89,#DIV/0!
WAVSW,Western Acquisition Ventures Corp. - Warrant,Shell Companies,$0.00 ,$0.00 ,$9.89 ,"$145,739,880 ",0,WAVS,Western Acquisition Ventures Corp.,Common stocks,9.89,#DIV/0!
BWAQW,Blue World Acquisition Corporation Warrant,Shell Companies,$0.00 ,$0.00 ,$9.88 ,"$118,448,352 ",0,BWAQ,Blue World Acquisition Corporation Class A,Common stocks,9.88,#DIV/0!
CLINW,Clean Earth Acquisitions Corp. - Warrant,Shell Companies,$0.00 ,$0.00 ,$9.87 ,"$234,838,700 ",0,CLIN,Clean Earth Acquisitions Corp. - Class A,Common stocks,9.87,#DIV/0!
GHIXW,"Gores Holdings IX, Inc. Warrant",Shell Companies,$0.00 ,$0.00 ,$9.87 ,"$506,625,000 ",0,GHIX,"Gores Holdings IX, Inc. Class A",Common stocks,9.87,#DIV/0!
GSRMW,GSR II Meteora Acquisition Corp. - Warrant,Shell Companies,$0.00 ,$0.00 ,$9.87 ,"$313,087,500 ",0,GSRM,GSR II Meteora Acquisition Corp. - Class A,Common stocks,9.87,#DIV/0!
RFACW,RF Acquisition Corp. - Warrants,Shell Companies,$0.00 ,$0.00 ,$9.87 ,"$115,128,000 ",0,RFAC,RF Acquisition Corp. - Class A,Common stocks,9.87,#DIV/0!
RWODW,Redwoods Acquisition Corp. - Warrants,Shell Companies,$0.00 ,$0.00 ,$9.85 ,"$145,770,900 ",0,RWOD,Redwoods Acquisition Corp.,Common stocks,9.85,#DIV/0!
ACAXW,Alset Capital Acquisition Corp. - Warrant,Shell Companies,$0.00 ,$0.00 ,$9.83 ,"$89,713,675 ",0,ACAX,Alset Capital Acquisition Corp. - Class A,Common stocks,9.83,#DIV/0!
JGGCW,Jaguar Global Growth Corporation I - Warrant,Shell Companies,$0.00 ,$0.00 ,$9.83 ,"$226,090,000 ",0,JGGC,Jaguar Global Growth Corporation I - Class A,Common stocks,9.83,#DIV/0!
CSLMW,"Consilium Acquisition Corp I, Ltd. Warrant",Shell Companies,$0.00 ,$0.00 ,$9.80 ,"$185,006,250 ",0,CSLM,"Consilium Acquisition Corp I, Ltd. Class A Ordinary Share",Common stocks,9.8,#DIV/0!
KYCHW,Keyarch Acquisition Corporation - Warrant,Shell Companies,$0.00 ,$0.00 ,$9.76 ,"$117,438,750 ",0,KYCH,Keyarch Acquisition Corporation,Common stocks,9.76,#DIV/0!
SCRMW,Screaming Eagle Acquisition Corp. Warrant,Shell Companies,$0.00 ,$0.00 ,$9.63 ,"$723,000,000 ",0,SCRM,Screaming Eagle Acquisition Corp. Class A,Common stocks,9.63,#DIV/0!
SWVLW,Swvl Holdings Corp - Warrant,Operating Companies,$0.00 ,$0.00 ,$5.11 ,"$636,024,441 ",0,SWVL,Swvl Holdings Corp - Class A,Common stocks,5.11,#DIV/0!
EDBLW,Edible Garden AG Incorporated - Warrant,Operating Companies,$0.00 ,$0.00 ,$1.76 ,"$13,793,979 ",0,EDBL,Edible Garden AG Incorporated,Common stocks,1.76,#DIV/0!
STSSW,Sharps Technology Inc. - Warrant,Operating Companies,$0.00 ,$0.00 ,$1.23 ,"$9,587,926 ",0,STSS,Sharps Technology Inc.,Common stocks,1.23,#DIV/0!
ALSAW,Alpha Star Acquisition Corporation Warrants,Shell Companies,$0.00 ,$0.04 ,$9.89 ,"$145,579,500 ","16,383",ALSA,Alpha Star Acquisition Corporation,Common stocks,9.85,24625.00%
CNGLW,Canna-Global Acquisition Corp Warrant,Shell Companies,$0.00 ,$0.09 ,$9.99 ,"$211,089,309 ","29,823",CNGL,Canna-Global Acquisition Corp. Class A,Common stocks,9.9,11000.00%
GLLIW,Globalink Investment Inc. - Warrants,Shell Companies,$0.00 ,$0.09 ,$9.89 ,"$147,806,050 ","4,887",GLLI,Globalink Investment Inc.,Common stocks,9.8,10888.89%
BRKHW,BurTech Acquisition Corp. Warrants,Shell Companies,$0.00 ,$0.10 ,$9.92 ,"$285,200,000 ","101,753",BRKH,BurTech Acquisition Corp. Class A,Common stocks,9.82,9820.00%
CCTSW,Cactus Acquisition Corp. 1 Limited - Warrant,Shell Companies,$0.00 ,$0.11 ,$9.95 ,"$125,867,500 ","3,567",CCTS,Cactus Acquisition Corp. 1 Limited - Class A,Common stocks,9.84,8945.45%
GGAAW,Genesis Growth Tech Acquisition Corp. - Warrant,Shell Companies,$0.00 ,$0.13 ,$9.97 ,"$252,241,000 ","52,556",GGAA,Genesis Growth Tech Acquisition Corp. - Class A,Common stocks,9.84,7569.23%
AOGOW,Arogo Capital Acquisition Corp. - Warrant,Shell Companies,$0.00 ,$0.13 ,$9.92 ,"$107,552,888 ","81,672",AOGO,Arogo Capital Acquisition Corp. - Class A,Common stocks,9.79,7530.77%
KACLW,Kairous Acquisition Corp. Limited - Warrants,Shell Companies,$0.00 ,$0.13 ,$9.91 ,"$100,548,277 ","10,869",KACL,Kairous Acquisition Corp. Limited,Common stocks,9.78,7523.08%
ASCAW,A SPAC I Acquisition Corp. - Warrant,Shell Companies,$0.00 ,$0.13 ,$9.87 ,"$68,241,000 ","15,000",ASCA,A SPAC I Acquisition Corp. - Class A,Common stocks,9.74,7492.31%
ATEK+,Athena Technology Acquisition Corp. II Redeemable Warrants,Shell Companies,$0.00 ,$0.13 ,$9.82 ,"$258,458,807 ","57,995",ATEK,Athena Technology Acquisition Corp. II Class A,Common stocks,9.69,7453.85%
TOACW,Talon 1 Acquisition Corp. - Warrant,Shell Companies,$0.00 ,$0.14 ,$10.05 ,"$231,150,000 ","38,602",TOAC,Talon 1 Acquisition Corp. - Class A,Common stocks,9.91,7078.57%
DHACW,Digital Health Acquisition Corp. - Warrant,Shell Companies,$0.00 ,$0.14 ,$10.00 ,"$149,320,000 ","9,474",DHAC,Digital Health Acquisition Corp.,Common stocks,9.86,7042.86%
FEXDW,Fintech Ecosystem Development Corp. Warrant,Shell Companies,$0.00 ,$0.14 ,$10.00 ,"$115,575,000 ","4,398",FEXD,Fintech Ecosystem Development Corp. Class A,Common stocks,9.86,7042.86%
IQMDW,Intelligent Medicine Acquisition Corp. Warrant,Shell Companies,$0.00 ,$0.14 ,$9.99 ,"$206,586,000 ","12,183",IQMD,Intelligent Medicine Acquisition Corp. Class A,Common stocks,9.85,7035.71%
CRECW,Crescera Capital Acquisition Corp Warrant,Shell Companies,$0.00 ,$0.14 ,$9.94 ,"$200,042,500 ","16,997",CREC,Crescera Capital Acquisition Corp Class A,Common stocks,9.8,7000.00%
GMFIW,Aetherium Acquisition Corp. Warrant,Shell Companies,$0.00 ,$0.14 ,$9.91 ,"$118,841,580 ","8,467",GMFI,Aetherium Acquisition Corp. Class A,Common stocks,9.77,6978.57%
NVACW,NorthView Acquisition Corporation - Warrant,Shell Companies,$0.00 ,$0.14 ,$9.87 ,"$238,545,563 ","18,090",NVAC,NorthView Acquisition Corporation,Common stocks,9.73,6950.00%
GVCIW,Green Visor Financial Technology Acquisition Corp. I Warrants,Shell Companies,$0.00 ,$0.15 ,$10.02 ,"$200,500,200 ","6,543",GVCI,Green Visor Financial Technology Acquisition Corp. I Class A,Common stocks,9.87,6580.00%
ENCPW,Energem Corp Warrant,Shell Companies,$0.00 ,$0.15 ,$10.00 ,"$102,569,987 ","1,530",ENCP,Energem Corp Class A,Common stocks,9.85,6566.67%
VSACW,Vision Sensing Acquisition Corp. Warrants,Shell Companies,$0.00 ,$0.15 ,$10.00 ,"$105,927,000 ","3,359",VSAC,Vision Sensing Acquisition Corp. Class A,Common stocks,9.85,6566.67%
IOACW,Innovative International Acquisition Corp. Warrants,Shell Companies,$0.00 ,$0.15 ,$9.99 ,"$240,359,400 ","10,897",IOAC,Innovative International Acquisition Corp. Class A,Common stocks,9.84,6560.00%
SHCAW,Spindletop Health Acquisition Corp. Warrant,Shell Companies,$0.00 ,$0.15 ,$9.97 ,"$199,450,454 ","52,906",SHCA,Spindletop Health Acquisition Corp. Class A,Common stocks,9.82,6546.67%
TLGYW,TLGY Acquisition Corporation Warrant,Shell Companies,$0.00 ,$0.15 ,$9.97 ,"$229,310,000 ","4,779",TLGY,TLGY Acquisition Corporation Class A Ordinary Share,Common stocks,9.82,6546.67%
APXIW,APx Acquisition Corp. I Warrant,Shell Companies,$0.00 ,$0.15 ,$9.96 ,"$171,810,000 ","6,446",APXI,APx Acquisition Corp. I Class A Ordinary Share,Common stocks,9.81,6540.00%
LIBYW,Liberty Resources Acquisition Corp. Warrant,Shell Companies,$0.00 ,$0.15 ,$9.96 ,"$119,821,539 ","1,705",LIBY,Liberty Resources Acquisition Corp. Class A,Common stocks,9.81,6540.00%
FXCOW,Financial Strategies Acquisition Corp. Warrants,Shell Companies,$0.00 ,$0.15 ,$9.95 ,"$107,966,304 ","8,750",FXCO,Financial Strategies Acquisition Corp. Class A,Common stocks,9.8,6533.33%
LGVCW,LAMF Global Ventures Corp. I Warrant,Shell Companies,$0.00 ,$0.15 ,$9.95 ,"$262,739,700 ","17,964",LGVC,LAMF Global Ventures Corp. I Class A,Common stocks,9.8,6533.33%
BIOSW,BioPlus Acquisition Corp. Warrants,Shell Companies,$0.00 ,$0.15 ,$9.94 ,"$234,186,400 ","23,039",BIOS,BioPlus Acquisition Corp. Class A,Common stocks,9.79,6526.67%
GDNRW,Gardiner Healthcare Acquisitions Corp. Warrant,Shell Companies,$0.00 ,$0.15 ,$9.92 ,"$106,950,000 ","2,075",GDNR,Gardiner Healthcare Acquisitions Corp.,Common stocks,9.77,6513.33%
MAAQW,Mana Capital Acquisition Corp. Warrant,Shell Companies,$0.00 ,$0.15 ,$9.91 ,"$80,518,750 ","1,240",MAAQ,Mana Capital Acquisition Corp.,Common stocks,9.76,6506.67%
IGTAW,Inception Growth Acquisition Limited - Warrants,Shell Companies,$0.00 ,$0.15 ,$9.84 ,"$127,926,875 ","2,283",IGTA,Inception Growth Acquisition Limited,Common stocks,9.69,6460.00%
RCACW,Revelstone Capital Acquisition Corp. Warrant,Shell Companies,$0.00 ,$0.15 ,$9.77 ,"$161,205,000 ",849,RCAC,Revelstone Capital Acquisition Corp. Class A,Common stocks,9.62,6413.33%
MCAAW,Mountain & Co. I Acquisition Corp. Warrant,Shell Companies,$0.00 ,$0.16 ,$10.13 ,"$232,530,000 ","6,729",MCAA,Mountain & Co. I Acquisition Corp. Class A,Common stocks,9.97,6231.25%
BPACW,Bullpen Parlay Acquisition Company Warrant,Shell Companies,$0.00 ,$0.16 ,$9.91 ,"$227,930,000 ","34,725",BPAC,Bullpen Parlay Acquisition Company Class A Ordinary Share,Common stocks,9.75,6093.75%
PRLHW,Pearl Holdings Acquisition Corp Warrant,Shell Companies,$0.00 ,$0.16 ,$9.90 ,"$198,000,000 ","3,506",PRLH,Pearl Holdings Acquisition Corp Class A,Common stocks,9.74,6087.50%
GFGDW,The Growth for Good Acquisition Corporation Warrant,Shell Companies,$0.00 ,$0.16 ,$9.68 ,"$252,648,000 ","34,983",GFGD,The Growth for Good Acquisition Corporation Class A,Common stocks,9.52,5950.00%
FRLAW,Fortune Rise Acquisition Corporation Warrant,Shell Companies,$0.00 ,$0.17 ,$10.05 ,"$129,486,713 ","2,198",FRLA,Fortune Rise Acquisition Corporation Class A,Common stocks,9.88,5811.76%
MLAIW,McLaren Technology Acquisition Corp. Warrant,Shell Companies,$0.00 ,$0.17 ,$9.99 ,"$200,948,125 ","13,905",MLAI,McLaren Technology Acquisition Corp. Class A,Common stocks,9.82,5776.47%
BOCNW,Blue Ocean Acquisition Corp - Warrants,Shell Companies,$0.00 ,$0.17 ,$9.90 ,"$187,662,750 ","21,650",BOCN,Blue Ocean Acquisition Corp - Class A,Common stocks,9.73,5723.53%
ZINGW,FTAC Zeus Acquisition Corp. Warrant,Shell Companies,$0.00 ,$0.17 ,$9.83 ,"$413,142,613 ","49,064",ZING,FTAC Zeus Acquisition Corp. Class A,Common stocks,9.66,5682.35%
CMCAW,Capitalworks Emerging Markets Acquisition Corp Warrant,Shell Companies,$0.00 ,$0.18 ,$9.97 ,"$230,460,000 ","13,241",CMCA,Capitalworks Emerging Markets Acquisition Corp Class A,Common stocks,9.79,5438.89%
ALORW,ALSP Orchid Acquisition Corporation I Warrant,Shell Companies,$0.00 ,$0.18 ,$9.95 ,"$180,741,750 ","9,114",ALOR,ALSP Orchid Acquisition Corporation I Class A Ordinary Share,Common stocks,9.77,5427.78%
IVCBW,Investcorp Europe Acquisition Corp I Warrant,Shell Companies,$0.00 ,$0.18 ,$9.95 ,"$343,620,000 ","86,699",IVCB,Investcorp Europe Acquisition Corp I Class A,Common stocks,9.77,5427.78%
DPCSW,DP Cap Acquisition Corp I - Warrants,Shell Companies,$0.00 ,$0.18 ,$9.94 ,"$228,854,600 ","1,777",DPCS,DP Cap Acquisition Corp I - Class A,Common stocks,9.76,5422.22%
VHNAW,Vahanna Tech Edge Acquisition I Corp. Warrants,Shell Companies,$0.00 ,$0.19 ,$10.01 ,"$199,299,600 ","39,227",VHNA,Vahanna Tech Edge Acquisition I Corp. Class A,Common stocks,9.82,5168.42%
